common_name,latin_name,family,habitat,class,group,body_size_g,maximum_longevity_y,female_maturity_d,litter_or_clutch_size_n,litters_or_clutches_per_y,trophic_level,knowntraits,IUCN_status,IUCN_year_of_assessment,IUCN_threat_habitatloss,IUCN_threat_overexploit,IUCN_threat_invasivesp,IUCN_threat_climatechange,IUCN_nthreats,first_assess,first_status,n_assessment,WOS_1987,WOS_1988,WOS_1989,WOS_1990,WOS_1991,WOS_1992,WOS_1993,WOS_1994,WOS_1995,WOS_1996,WOS_1997,WOS_1998,WOS_1999,WOS_2000,WOS_2001,WOS_2002,WOS_2003,WOS_2004,WOS_2005,WOS_2006,WOS_2007,WOS_2008,WOS_2009,WOS_2010,WOS_2011,WOS_2012,WOS_2013,WOS_2014,WOS_2015,WOS_2016,WOS_2017
Pomarine Skua,Stercorarius pomarinus,Stercorariidae,Marine,Aves,Marine birds,694,NA,NA,1.98,1,4,4,LC,2016,0,0,0,1,1,1988,LR/lc,8,1,0,0,0,1,0,1,0,0,0,3,2,3,1,0,0,1,0,0,0,0,0,1,1,0,0,1,2,0,1,1
Parasitic Jaeger,Stercorarius parasiticus,Stercorariidae,Marine,Aves,Marine birds,446,31.1,1200,2,1,4,6,LC,2016,0,0,0,1,1,1988,LR/lc,8,1,0,1,0,1,0,1,0,2,1,6,7,3,3,3,2,3,3,1,2,1,1,1,0,2,2,0,3,1,2,1
Long-tailed Jaeger,Stercorarius longicaudus,Stercorariidae,Terrestrial,Aves,Terrestrial birds,298,14,NA,2,1,4,5,LC,2016,0,0,0,1,1,1988,LR/lc,8,0,0,1,0,0,0,0,0,1,0,2,0,0,2,0,0,0,1,0,1,0,0,2,0,1,1,1,6,2,2,2
Black-legged Kittiwake,Rissa tridactyla,Laridae,Marine,Aves,Marine birds,317,28.5,1460,2,1,2.5,6,LC,2016,0,0,0,1,1,1988,LR/lc,9,5,3,1,2,6,15,8,12,14,17,19,17,20,16,18,20,21,23,17,18,35,23,20,20,20,30,25,35,25,19,26
Ivory Gull,Pagophila eburnea,Laridae,Marine,Aves,Marine birds,550,23.9,730,2,1,4,6,NT,2017,1,1,0,1,10,1988,LR/lc,11,0,0,0,0,0,0,0,0,0,1,3,0,0,1,1,0,1,2,2,1,2,0,1,1,1,4,0,2,2,5,3
Sabine's Gull,Xema sabini,Laridae,Marine,Aves,Marine birds,195,8.1,NA,2.18,1,2.5,5,LC,2016,0,0,0,1,1,1988,LR/lc,8,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,1,3,0,2,0,0,0,0,3,0,0,0,0,1
Ross's Gull,Rhodostethia rosea,Laridae,Marine,Aves,Marine birds,187,NA,NA,3,1,3,4,LC,2016,0,0,0,1,1,1988,LR/lc,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1
Glaucous Gull,Larus hyperboreus,Laridae,Terrestrial,Aves,Terrestrial birds,1210,21.1,1460,3,1,4,6,LC,2016,0,0,0,1,1,1988,LR/lc,8,3,4,0,3,5,5,7,1,2,6,9,5,6,6,12,12,3,5,7,4,3,4,12,5,10,12,7,7,9,6,5
Iceland Gull,Larus glaucoides,Laridae,Marine,Aves,Marine birds,946,33,1460,2.39,1,4,6,LC,2016,0,1,0,1,3,2000,LR/lc,8,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,2,1,0,0,0,1,0,1,1,1,2,0,2,1,1,0
Thayer's Gull,Larus thayeri,Laridae,Marine,Aves,Marine birds,1013,49,1460,2.6,1,4,6,LC,2017,0,0,0,1,1,2000,LR/lc,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,1,0,1,1,0,0,0,0
American Herring Gull,Larus smithsonianus,Laridae,Marine,Aves,Marine birds,1094,49,1825,3,1,4,6,LC,2016,NA,NA,NA,NA,NA,2014,LC,2,0,0,0,0,1,1,2,0,1,2,4,1,3,0,1,0,1,2,0,1,1,0,2,2,3,0,1,3,1,4,0
Vega Gull,Larus vegae,Laridae,Marine,Aves,Marine birds,1090,49,1460,2.6,1,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slaty-backed Gull,Larus schistisagus,Laridae,Marine,Aves,Marine birds,1373,NA,NA,3,NA,4,3,LC,2016,0,0,0,1,1,1988,LR/lc,8,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,2,0,3,1,2,0,2,0
Arctic Tern,Sterna paradisaea,Laridae,Marine,Aves,Marine birds,100,34,1095,2,1,4,6,LC,2016,0,0,0,1,1,1988,LR/lc,9,1,1,3,1,2,6,2,4,3,2,11,2,6,6,3,3,6,5,3,5,9,10,2,2,4,3,4,4,4,3,3
Little Auk,Alle alle,Alcidae,Marine,Aves,Marine birds,160,25,1096,1,1,3,6,LC,2017,0,0,0,1,2,1988,LR/lc,9,0,1,2,0,3,5,4,2,1,6,6,3,5,5,2,6,6,6,2,3,8,6,8,11,14,18,11,13,13,8,9
Common Murre,Uria aalge,Alcidae,Marine,Aves,Marine birds,992,42.8,1825,1,1,4,6,LC,2016,0,0,0,1,1,1988,LR/lc,8,8,6,2,4,15,15,15,10,12,25,27,17,25,26,20,20,23,23,20,20,33,30,25,24,19,32,21,17,25,19,14
Thick-billed Murre,Uria lomvia,Alcidae,Marine,Aves,Marine birds,964,29,1862,1,1,4,6,LC,2016,0,0,0,1,2,1988,LR/lc,8,3,1,0,0,5,5,10,6,5,12,13,8,10,12,10,15,15,11,13,8,5,23,21,17,8,24,19,11,14,13,17
Razorbill,Alca torda,Alcidae,Marine,Aves,Marine birds,726,42,1460,1,1,4,6,NT,2016,1,1,1,1,19,1988,LR/lc,9,0,2,1,2,3,6,1,2,3,4,8,3,5,5,5,5,5,3,4,2,5,9,7,6,3,8,2,4,5,3,3
Black Guillemot,Cepphus grylle,Alcidae,Marine,Aves,Marine birds,428,29.9,1095,2,1,4,6,LC,2016,0,0,0,1,1,1988,LR/lc,8,5,1,1,2,2,2,4,4,1,1,5,3,6,5,2,6,6,4,3,4,7,3,4,5,3,10,5,3,6,4,4
Kittlitz's Murrelet,Brachyramphus brevirostris,Alcidae,Marine,Aves,Marine birds,229,NA,NA,1,1,4,4,NT,2016,1,1,0,1,6,1988,LR/lc,12,0,0,0,0,0,0,0,0,1,2,0,2,2,1,0,0,1,1,0,0,1,2,1,1,0,4,0,2,3,2,0
Parakeet Auklet,Aethia psittacula,Alcidae,Marine,Aves,Marine birds,273,NA,NA,1,NA,3,3,LC,2016,0,0,0,1,2,1988,LR/lc,8,0,0,0,0,0,0,2,0,0,0,0,1,3,1,1,2,1,1,1,2,0,0,2,1,0,1,1,0,0,0,3
Crested Auklet,Aethia cristatella,Alcidae,Marine,Aves,Marine birds,289,10.8,1095,1,1,3,6,LC,2016,0,0,0,1,2,1988,LR/lc,8,0,0,0,2,0,3,1,0,1,0,0,2,4,3,0,2,1,4,1,6,2,3,4,3,4,3,3,2,1,1,4
Least Auklet,Aethia pusilla,Alcidae,Marine,Aves,Marine birds,96,8.1,1095,1,1,3,6,LC,2016,0,0,0,1,1,1988,LR/lc,8,0,0,0,4,3,5,3,1,1,2,2,3,6,4,4,8,2,8,3,6,5,5,6,8,6,6,8,2,2,4,4
Atlantic Puffin,Fratercula arctica,Alcidae,Marine,Aves,Marine birds,491,40.8,1460,1,1,4,6,VU,2017,1,1,1,1,20,1988,LR/lc,10,4,2,1,3,8,6,5,4,5,8,13,8,10,8,10,11,11,9,5,9,11,13,9,9,15,7,7,7,7,8,4
Horned Puffin,Fratercula corniculata,Alcidae,Marine,Aves,Marine birds,581,20,1461,1,1,4,6,LC,2016,0,0,0,1,1,1988,LR/lc,8,0,0,0,0,0,1,1,0,0,0,0,0,2,1,0,3,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1
Willow Grouse,Lagopus lagopus,Phasianidae,Terrestrial,Aves,Terrestrial birds,596,9,365,6,1,2,6,LC,2016,0,0,0,1,1,1988,LR/lc,8,1,6,9,6,17,35,23,17,36,25,25,27,24,44,35,25,36,30,43,33,48,41,43,44,50,48,37,35,34,39,50
Rock Ptarmigan,Lagopus muta,Phasianidae,Terrestrial,Aves,Terrestrial birds,536,6.1,363,7,1,2,6,LC,2016,0,0,0,1,1,1988,LR/lc,8,1,3,1,0,1,5,3,0,9,2,6,2,6,7,2,0,2,4,5,4,3,6,9,8,4,11,7,7,5,9,11
Rough-legged Buzzard,Buteo lagopus,Accipitridae,Terrestrial,Aves,Terrestrial birds,981,18.8,730,5,1,4,6,LC,2016,1,1,0,1,9,1988,LR/lc,10,0,0,0,0,0,4,1,1,1,1,2,5,2,4,2,0,3,3,2,1,1,1,1,7,1,2,1,4,2,6,4
Golden Eagle,Aquila chrysaetos,Accipitridae,Terrestrial,Aves,Terrestrial birds,4800,48,1460,2,1,4,6,LC,2016,1,1,1,1,11,1988,LR/lc,10,4,0,2,1,8,6,5,5,4,9,10,5,11,9,13,18,16,15,11,26,21,25,26,22,8,25,17,22,36,37,31
Gyrfalcon,Falco rusticolus,Falconidae,Terrestrial,Aves,Terrestrial birds,1407,13.5,730,3.72,1,4,6,LC,2017,1,1,0,1,9,1988,NT,10,0,2,0,1,1,2,0,1,3,1,2,1,2,0,1,2,3,1,3,1,1,1,3,5,4,2,3,1,1,3,4
Peregrine Falcon,Falco peregrinus,Falconidae,Terrestrial,Aves,Terrestrial birds,840,25,365,3,1,4,6,LC,2016,1,1,0,0,16,2014,LC,3,2,4,7,14,7,6,9,4,16,13,19,14,12,20,8,17,19,17,13,18,14,20,11,10,16,17,21,18,21,20,16
Sandhill Crane,Antigone canadensis,Gruidae,Terrestrial,Aves,Terrestrial birds,3890,36.6,1095,2,1,2.5,6,LC,2016,NA,NA,NA,NA,NA,1988,LR/lc,8,2,7,5,7,3,6,1,6,11,4,3,3,6,3,4,4,3,3,5,7,8,2,4,7,7,3,9,7,11,10,11
Siberian Crane,Leucogeranus leucogeranus,Gruidae,Terrestrial,Aves,Terrestrial birds,5931,36.2,2181,2,1,2,6,CR,2016,1,1,0,1,17,1994,EN,15,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,2,0,1,0,0,0,1,2,3,0,0,2,0,2,3,2
Snowy Owl,Bubo scandiacus,Strigidae,Terrestrial,Aves,Terrestrial birds,2043,28,730,6,1,4,6,LC,2016,1,1,0,1,8,1988,LR/lc,9,0,2,1,0,0,0,1,0,0,1,2,1,1,0,1,2,4,1,1,1,2,2,5,1,4,4,1,4,2,6,2
Short-eared Owl,Asio flammeus,Strigidae,Terrestrial,Aves,Terrestrial birds,406,21.8,365,6,1.5,4,6,LC,2016,1,1,1,0,20,1988,LR/lc,9,1,0,0,0,3,1,3,4,1,1,2,4,5,6,5,3,3,1,5,0,0,4,5,3,5,3,3,1,2,4,7
Northern Raven,Corvus corax,Corvidae,Terrestrial,Aves,Terrestrial birds,1041,69,1095,5,1,4,6,LC,2017,NA,NA,NA,NA,NA,1988,LR/lc,10,0,2,0,0,4,9,4,4,9,6,4,6,11,6,11,8,12,16,12,13,17,20,24,15,22,20,18,19,15,23,15
Hooded Crow,Corvus cornix,Corvidae,Terrestrial,Aves,Terrestrial birds,545,16.8,911,4.5,1,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,0,1,4,10,1,5,3,3,2,3,3,5,6,7,3,4,4,6,2,5,10,13,3,8,6,5,7,7,7
Horned Lark,Eremophila alpestris,Alaudidae,Terrestrial,Aves,Terrestrial birds,34,8,365,43,1.5,2.5,6,LC,2017,NA,NA,NA,NA,NA,1988,LR/lc,9,0,0,0,1,2,6,2,0,3,2,2,2,2,3,2,3,3,6,6,2,4,3,5,1,5,7,6,9,4,6,4
Grey-cheeked Thrush,Catharus minimus,Turdidae,Terrestrial,Aves,Terrestrial birds,25,7.3,365,4,1,3,6,LC,2016,NA,NA,NA,NA,NA,2000,LR/lc,8,0,0,0,0,0,0,2,2,0,0,2,3,1,0,1,0,0,0,1,0,0,3,2,0,1,0,2,1,1,2,3
Redwing,Turdus iliacus,Turdidae,Terrestrial,Aves,Terrestrial birds,61,18.8,365,5.19,2,2.5,6,NT,2017,1,1,0,1,6,1988,LR/lc,10,1,0,1,1,1,3,1,3,0,6,4,7,4,2,4,1,0,1,1,2,2,4,2,2,2,0,5,2,2,2,1
Bluethroat,Cyanecula svecica,Muscicapidae,Terrestrial,Aves,Terrestrial birds,17,11.4,365,6,1,3,6,LC,2016,NA,NA,NA,NA,NA,1988,LR/lc,8,0,0,0,0,1,2,1,1,0,1,3,2,5,5,2,3,3,5,5,2,2,8,1,5,5,3,8,2,5,6,3
Northern Wheatear,Oenanthe oenanthe,Muscicapidae,Terrestrial,Aves,Terrestrial birds,25,10.1,365,5.5,2,3,6,LC,2017,1,1,0,1,7,2016,LC,2,3,1,5,2,5,7,2,7,8,5,2,4,9,2,6,5,5,3,7,8,5,8,11,15,15,11,14,18,18,20,17
Siberian Accentor,Prunella montanella,Prunellidae,Terrestrial,Aves,Terrestrial birds,17,NA,NA,5,2,3,4,LC,2016,0,0,0,1,1,1988,LR/lc,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
White Wagtail,Motacilla alba,Motacillidae,Terrestrial,Aves,Terrestrial birds,24,13.7,365,5,1,3,6,LC,2016,NA,NA,NA,NA,NA,2006,LC,11,0,0,1,0,0,3,2,4,1,3,3,1,0,2,4,3,3,5,3,6,3,3,1,3,0,1,1,0,3,4,0
Eastern Yellow Wagtail,Motacilla tschutschensis,Motacillidae,Terrestrial,Aves,Terrestrial birds,18,8.8,365,5,1,NA,5,LC,2017,NA,NA,NA,NA,NA,2016,LC,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,1,2,1,1,0,0,1,0,0,2,0
Citrine Wagtail,Motacilla citreola,Motacillidae,Terrestrial,Aves,Terrestrial birds,20,NA,NA,4.5,1,3,4,LC,2016,NA,NA,NA,NA,NA,1988,LR/lc,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0
Buff-bellied Pipit,Anthus rubescens,Motacillidae,Terrestrial,Aves,Terrestrial birds,21,5.1,365,5,1,3,6,LC,2017,0,0,0,1,1,1988,LR/lc,10,0,1,0,0,2,1,0,1,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,2,1,0
Meadow Pipit,Anthus pratensis,Motacillidae,Terrestrial,Aves,Terrestrial birds,18,8.8,365,4.775,2,3,6,NT,2017,1,0,0,1,5,1988,LR/lc,10,1,1,1,0,2,3,2,2,3,3,4,10,5,6,6,5,7,6,4,10,3,13,3,4,5,1,4,6,3,4,3
Red-throated Pipit,Anthus cervinus,Motacillidae,Terrestrial,Aves,Terrestrial birds,21,4.5,NA,5.36,NA,3,4,LC,2017,0,0,0,1,1,1988,LR/lc,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1
Rock Pipit,Anthus petrosus,Motacillidae,Terrestrial,Aves,Terrestrial birds,22,10.9,365,4.6,1.5,3,6,LC,2016,NA,NA,NA,NA,NA,1988,LR/lc,8,0,1,0,0,0,2,0,0,1,1,3,0,0,0,0,1,1,3,0,0,1,1,0,0,1,1,1,0,0,1,1
Common Redpoll,Acanthis flammea,Fringillidae,Terrestrial,Aves,Terrestrial birds,14,12.2,365,5,2,2,6,LC,2016,0,0,0,1,1,2012,LC,3,0,0,0,0,0,1,1,2,2,0,0,1,1,0,2,0,1,1,3,0,1,0,0,1,1,1,0,3,0,1,0
Arctic Redpoll,Acanthis hornemanni,Fringillidae,Terrestrial,Aves,Terrestrial birds,14,6.8,365,4.5,1,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0
Little Bunting,Emberiza pusilla,Emberizidae,Terrestrial,Aves,Terrestrial birds,15,NA,NA,5,1,2,4,LC,2017,0,0,0,1,1,1988,LR/lc,10,0,1,0,0,2,2,2,12,3,2,4,11,11,13,9,10,8,10,10,12,12,14,5,11,11,11,10,14,10,11,8
White-crowned Sparrow,Zonotrichia leucophrys,Emberizidae,Terrestrial,Aves,Terrestrial birds,26,13.3,365,4,1.5,2,6,LC,2016,NA,NA,NA,NA,NA,1988,LR/lc,8,11,6,4,11,24,24,34,29,31,27,31,22,23,23,25,34,26,46,22,34,33,25,33,38,48,32,28,25,32,25,40
Savannah Sparrow,Passerculus sandwichensis,Emberizidae,Terrestrial,Aves,Terrestrial birds,20,18,365,4,1,2.5,6,LC,2016,NA,NA,NA,NA,NA,2016,LC,1,4,1,0,5,8,14,6,6,10,10,10,9,9,11,7,11,17,4,12,11,5,10,13,13,10,8,12,11,9,11,5
American Tree Sparrow,Passerella arborea,Emberizidae,Terrestrial,Aves,Terrestrial birds,17,10.8,365,4,1,2.5,6,LC,2016,0,0,0,1,1,1988,LR/lc,8,2,0,1,0,3,2,3,1,5,2,7,3,4,1,6,1,2,3,3,2,1,0,1,2,1,0,0,0,5,0,2
Lapland Longspur,Calcarius lapponicus,Calcariidae,Terrestrial,Aves,Terrestrial birds,28,6,NA,5,1,2.5,5,LC,2017,0,0,0,1,1,1988,LR/lc,9,1,0,1,0,1,2,1,0,4,0,1,1,1,2,0,6,0,0,4,0,1,0,2,0,0,0,3,1,3,3,3
Smith's Longspur,Calcarius pictus,Calcariidae,Terrestrial,Aves,Terrestrial birds,27,5,365,4,1,2.5,6,LC,2016,0,0,0,1,1,1988,LR/lc,8,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,2,2,0,1
Snow Bunting,Plectrophenax nivalis,Calcariidae,Terrestrial,Aves,Terrestrial birds,42,9.6,365,5,1,2,6,LC,2016,0,0,0,1,1,1988,LR/lc,8,1,0,0,0,1,1,1,2,3,2,3,1,1,1,1,3,3,2,1,0,4,1,1,1,3,1,4,3,4,4,1
McKay's Bunting,Plectrophenax hyperboreus,Calcariidae,Terrestrial,Aves,Terrestrial birds,42,4.8,364,4,1,2,6,LC,2016,0,0,1,1,11,1988,LR/lc,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0
Siberian newt,Salamandrella keyserlingii,Hynobiidae,Terrestrial,Amphibia,Amphibians,7,10,1095,70,1,NA,5,LC,2008,NA,NA,NA,NA,NA,2004,LC,2,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,2,3,1,1,3
Siberian wood frog,Rana amurensis,Ranidae,Terrestrial,Amphibia,Amphibians,NA,11,821,2225,1,NA,4,LC,2008,1,1,0,1,16,2004,LC,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,3,0,1,0,2,1,1
Moor frog,Rana arvalis,Ranidae,Terrestrial,Amphibia,Amphibians,11,11,1095,2300,1,NA,5,LC,2009,1,1,0,0,12,2004,LC,2,0,1,2,0,0,2,1,2,1,2,1,5,2,5,6,4,6,4,3,5,10,10,10,6,4,9,6,10,9,6,6
Polar Bear,Ursus maritimus,Ursidae,Marine,Mammalia,Marine mammals,475000,43.8,1734,2,0.4,5.1,6,VU,2015,1,1,1,1,22,1965,NA,10,3,2,1,5,14,10,7,8,17,21,15,11,8,16,17,13,13,31,19,23,25,38,33,29,26,36,45,48,47,42,49
Northern Fur Seal,Callorhinus ursinus,Otariidae,Marine,Mammalia,Marine mammals,165500,35,1095,1.3,0.9,4.2,6,VU,2015,1,1,0,1,9,1996,VU,3,5,0,7,6,7,11,8,12,11,3,9,8,7,11,17,16,15,18,24,17,32,28,23,25,21,32,28,32,18,21,28
Steller's Sea Lion,Eumetopias jubatus,Otariidae,Marine,Mammalia,Marine mammals,415000,32.8,1780,1,1,4.2,6,NT,2016,1,1,1,1,8,1994,V,5,1,2,0,0,1,2,3,3,1,6,7,6,5,10,9,11,11,16,20,29,33,31,34,26,24,24,28,24,32,13,14
Walrus,Odobenus rosmarus,Odobenidae,Marine,Mammalia,Marine mammals,1010000,40,1745,1,0.5,3.4,6,VU,2016,1,1,0,1,12,1996,LR/lc,3,1,1,3,0,4,5,4,4,2,3,11,7,5,4,8,3,9,5,8,6,16,13,8,13,8,6,10,11,14,15,12
Hooded seal,Cystophora cristata,Phocidae,Marine,Mammalia,Marine mammals,405000,35,1095,1,1,4.2,6,VU,2016,1,1,1,1,9,1996,LR/lc,3,3,3,1,1,3,9,6,3,8,6,9,4,5,5,8,10,3,4,5,4,7,5,7,6,6,3,7,7,2,5,6
Bearded seal,Erignathus barbatus,Phocidae,Marine,Mammalia,Marine mammals,373000,31.5,1712,1,1,3.4,6,LC,2016,1,1,0,1,9,1996,LR/lc,3,0,0,1,1,2,1,2,1,4,4,2,2,3,4,4,4,7,4,5,8,10,8,4,5,6,4,6,6,4,10,6
Gray seal,Halichoerus grypus,Phocidae,Marine,Mammalia,Marine mammals,268000,42.9,1460,1,0.9,4,6,LC,2016,1,1,0,1,11,1996,LR/lc,3,5,3,1,8,11,12,15,14,19,22,26,22,26,28,42,42,42,29,35,34,34,33,28,29,38,45,34,38,47,28,34
Spotted seal,Phoca largha,Phocidae,Marine,Mammalia,Marine mammals,85000,NA,1279,1,NA,4,4,LC,2016,1,1,1,1,11,1996,LR/lc,3,0,0,0,0,3,1,1,0,2,1,0,2,1,4,4,2,4,5,2,1,3,3,4,6,4,3,2,5,5,9,4
Harbor seal,Phoca vitulina,Phocidae,Marine,Mammalia,Marine mammals,115000,47.6,1095,1,1,4,6,LC,2016,1,1,1,1,19,1996,LR/lc,3,8,7,11,15,25,19,28,21,22,29,40,47,38,35,45,60,56,39,55,55,59,72,45,61,51,57,57,58,67,67,62
Harp seal,Pagophilus groenlandicus,Phocidae,Marine,Mammalia,Marine mammals,180000,NA,1637,1.25,NA,3.8,4,LC,2015,1,1,1,1,13,1996,LR/lc,3,5,1,3,2,11,17,17,13,12,12,15,15,10,14,14,20,8,11,12,12,6,10,11,9,10,8,9,13,8,12,7
Ribbon seal,Histriophoca fasciata,Phocidae,Marine,Mammalia,Marine mammals,90000,NA,1050,1,1,3.8,5,LC,2016,0,1,0,1,5,1965,NA,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,2,2,1,0,1,1,1,3,1,3,1
Ringed seal,Pusa hispida,Phocidae,Marine,Mammalia,Marine mammals,90000,46,1826,1,1,3.8,6,LC,2016,1,1,1,1,14,1996,LR/lc,3,1,1,4,7,8,9,9,2,10,10,12,14,10,9,15,16,12,13,13,8,14,22,14,12,17,15,16,22,15,20,18
Bowhead whale,Balaena mysticetus,Balaenidae,Marine,Mammalia,Marine mammals,100000000,211,8212,1,0.3,3.2,6,LC,2012,1,1,0,1,8,1965,NA,8,2,1,3,1,1,5,1,2,2,4,4,3,5,8,7,3,5,10,6,7,10,12,7,10,12,19,12,13,20,24,15
Pacific Northern right whale,Eubalaena japonica,Balaenidae,Marine,Mammalia,Marine mammals,23000000,67,3500,1,0.29,NA,5,EN,2008,1,1,0,0,5,1996,EN,2,0,0,0,0,2,0,1,1,4,0,0,1,0,0,0,1,0,1,2,3,1,1,0,2,1,5,3,4,6,3,2
Atlantic Northern right whale,Eubalaena glacialis,Balaenidae,Marine,Mammalia,Marine mammals,23000000,67,2920,1,0.29,3.2,6,EN,2012,1,1,0,0,5,2008,EN,2,1,1,0,3,1,1,2,2,3,2,3,3,3,3,5,3,8,6,6,10,7,5,11,13,10,14,16,17,20,21,18
Blue whale,Balaenoptera musculus,Balaenopteridae,Marine,Mammalia,Marine mammals,136000000,110,1827,1,0.4,3.2,6,EN,2008,0,1,0,1,3,1965,NA,7,0,0,0,1,1,3,1,1,1,1,5,8,6,6,4,4,5,8,3,9,9,4,8,13,12,11,12,18,23,19,18
Fin whale,Balaenoptera physalus,Balaenopteridae,Marine,Mammalia,Marine mammals,70000000,114,2701,1,0.4,3.4,6,EN,2013,1,1,0,0,6,1965,NA,8,4,4,1,6,4,9,13,7,12,9,9,11,12,14,17,18,11,16,13,21,23,21,23,27,35,31,39,51,62,51,42
Sei whale,Balaenoptera borealis,Balaenopteridae,Marine,Mammalia,Marine mammals,20000000,74,3652,1,0.5,3.4,6,EN,2008,0,1,0,0,4,1994,V,3,1,0,0,1,2,1,1,0,3,1,1,2,0,3,1,2,2,0,1,2,1,0,1,8,4,3,1,2,2,6,5
